Year,No_Smoothing,Lowess(5)
1880.00,-0.16,-0.09
1881.00,-0.08,-0.13
1882.00,-0.11,-0.16
1883.00,-0.17,-0.2
1884.00,-0.28,-0.24
1885.00,-0.33,-0.26
1886.00,-0.31,-0.27
1887.00,-0.36,-0.27
1888.00,-0.17,-0.27
1889.00,-0.11,-0.26
1890.00,-0.35,-0.25
1891.00,-0.23,-0.26
1892.00,-0.28,-0.27
1893.00,-0.31,-0.26
1894.00,-0.3,-0.24
1895.00,-0.23,-0.22
1896.00,-0.12,-0.21
1897.00,-0.11,-0.19
1898.00,-0.28,-0.17
1899.00,-0.18,-0.18
1900.00,-0.09,-0.2
1901.00,-0.16,-0.24
1902.00,-0.28,-0.26
1903.00,-0.37,-0.29
1904.00,-0.48,-0.31
1905.00,-0.27,-0.34
1906.00,-0.23,-0.36
1907.00,-0.39,-0.38
1908.00,-0.43,-0.4
1909.00,-0.49,-0.41
1910.00,-0.44,-0.42
1911.00,-0.45,-0.4
1912.00,-0.37,-0.36
1913.00,-0.35,-0.33
1914.00,-0.16,-0.32
1915.00,-0.14,-0.31
1916.00,-0.36,-0.3
1917.00,-0.46,-0.3
1918.00,-0.3,-0.3
1919.00,-0.28,-0.3
1920.00,-0.28,-0.28
1921.00,-0.19,-0.27
1922.00,-0.28,-0.25
1923.00,-0.27,-0.24
1924.00,-0.27,-0.23
1925.00,-0.22,-0.22
1926.00,-0.11,-0.22
1927.00,-0.22,-0.21
1928.00,-0.2,-0.2
1929.00,-0.36,-0.19
1930.00,-0.16,-0.19
1931.00,-0.09,-0.19
1932.00,-0.16,-0.18
1933.00,-0.29,-0.17
1934.00,-0.12,-0.16
1935.00,-0.2,-0.14
1936.00,-0.15,-0.11
1937.00,-0.03,-0.06
1938.00,0,-0.01
1939.00,-0.02,0.03
1940.00,0.12,0.06
1941.00,0.19,0.09
1942.00,0.07,0.11
1943.00,0.09,0.1
1944.00,0.2,0.07
1945.00,0.09,0.04
1946.00,-0.07,0
1947.00,-0.03,-0.04
1948.00,-0.11,-0.07
1949.00,-0.11,-0.08
1950.00,-0.17,-0.08
1951.00,-0.07,-0.07
1952.00,0.01,-0.07
1953.00,0.08,-0.07
1954.00,-0.13,-0.07
1955.00,-0.14,-0.06
1956.00,-0.19,-0.05
1957.00,0.05,-0.04
1958.00,0.06,-0.01
1959.00,0.03,0.01
1960.00,-0.03,0.03
1961.00,0.06,0.01
1962.00,0.03,-0.01
1963.00,0.05,-0.03
1964.00,-0.2,-0.04
1965.00,-0.11,-0.05
1966.00,-0.06,-0.06
1967.00,-0.02,-0.05
1968.00,-0.08,-0.03
1969.00,0.05,-0.02
1970.00,0.03,0
1971.00,-0.08,0
1972.00,0.01,0
1973.00,0.16,0
1974.00,-0.07,0.01
1975.00,-0.01,0.02
1976.00,-0.1,0.04
1977.00,0.18,0.07
1978.00,0.07,0.12
1979.00,0.16,0.16
1980.00,0.26,0.2
1981.00,0.32,0.21
1982.00,0.14,0.22
1983.00,0.31,0.21
1984.00,0.16,0.21
1985.00,0.12,0.22
1986.00,0.18,0.24
1987.00,0.32,0.27
1988.00,0.39,0.31
1989.00,0.27,0.33
1990.00,0.45,0.33
1991.00,0.4,0.33
1992.00,0.22,0.33
1993.00,0.23,0.33
1994.00,0.31,0.34
1995.00,0.44,0.36
1996.00,0.33,0.4
1997.00,0.46,0.42
1998.00,0.61,0.44
1999.00,0.38,0.47
2000.00,0.39,0.5
2001.00,0.53,0.52
2002.00,0.63,0.55
2003.00,0.62,0.58
2004.00,0.53,0.61
2005.00,0.68,0.62
2006.00,0.64,0.62
2007.00,0.66,0.63
2008.00,0.54,0.64
2009.00,0.66,0.64
2010.00,0.73,0.65
2011.00,0.61,0.67
2012.00,0.65,0.7
2013.00,0.68,0.74
2014.00,0.75,0.79
2015.00,0.9,0.83
2016.00,1.02,0.88
2017.00,0.92,0.91
2018.00,0.85,0.93
2019.00,0.98,0.94
2020.00,1.02,0.95
2021.00,0.85,0.98
2022.00,0.9,1
2023.00,1.18,1.02